epoch: 1/300, train_loss: 2.2094, train_acc: 0.1606, test_loss: 3.3334, test_acc: 0.1133 
epoch: 2/300, train_loss: 1.9711, train_acc: 0.2368, test_loss: 2.4753, test_acc: 0.1935 
epoch: 3/300, train_loss: 1.8416, train_acc: 0.2902, test_loss: 2.1940, test_acc: 0.2624 
epoch: 4/300, train_loss: 1.7489, train_acc: 0.3364, test_loss: 2.0825, test_acc: 0.3154 
epoch: 5/300, train_loss: 1.6727, train_acc: 0.3677, test_loss: 2.0212, test_acc: 0.3312 
epoch: 6/300, train_loss: 1.6119, train_acc: 0.4000, test_loss: 1.8020, test_acc: 0.3977 
epoch: 7/300, train_loss: 1.5538, train_acc: 0.4239, test_loss: 1.7252, test_acc: 0.4209 
epoch: 8/300, train_loss: 1.5062, train_acc: 0.4430, test_loss: 1.7462, test_acc: 0.4258 
epoch: 9/300, train_loss: 1.4415, train_acc: 0.4772, test_loss: 1.6730, test_acc: 0.4518 
epoch: 10/300, train_loss: 1.3784, train_acc: 0.5019, test_loss: 1.7491, test_acc: 0.4643 
epoch: 11/300, train_loss: 1.3234, train_acc: 0.5240, test_loss: 1.5196, test_acc: 0.5038 
epoch: 12/300, train_loss: 1.2673, train_acc: 0.5438, test_loss: 1.5100, test_acc: 0.5211 
epoch: 13/300, train_loss: 1.2215, train_acc: 0.5607, test_loss: 1.4063, test_acc: 0.5528 
epoch: 14/300, train_loss: 1.1872, train_acc: 0.5795, test_loss: 1.2907, test_acc: 0.5824 
epoch: 15/300, train_loss: 1.1525, train_acc: 0.5887, test_loss: 1.2583, test_acc: 0.5933 
epoch: 16/300, train_loss: 1.1282, train_acc: 0.6014, test_loss: 1.2117, test_acc: 0.6033 
epoch: 17/300, train_loss: 1.0947, train_acc: 0.6148, test_loss: 1.1504, test_acc: 0.6233 
epoch: 18/300, train_loss: 1.0658, train_acc: 0.6234, test_loss: 1.1402, test_acc: 0.6302 
epoch: 19/300, train_loss: 1.0437, train_acc: 0.6333, test_loss: 1.1037, test_acc: 0.6409 
epoch: 20/300, train_loss: 1.0230, train_acc: 0.6410, test_loss: 1.0652, test_acc: 0.6500 
epoch: 21/300, train_loss: 0.9987, train_acc: 0.6479, test_loss: 1.0643, test_acc: 0.6526 
epoch: 22/300, train_loss: 0.9784, train_acc: 0.6568, test_loss: 1.0364, test_acc: 0.6574 
epoch: 23/300, train_loss: 0.9545, train_acc: 0.6661, test_loss: 1.0627, test_acc: 0.6569 
epoch: 24/300, train_loss: 0.9377, train_acc: 0.6704, test_loss: 0.9770, test_acc: 0.6802 
epoch: 25/300, train_loss: 0.9231, train_acc: 0.6759, test_loss: 0.9515, test_acc: 0.6840 
epoch: 26/300, train_loss: 0.9010, train_acc: 0.6828, test_loss: 0.9596, test_acc: 0.6878 
epoch: 27/300, train_loss: 0.8885, train_acc: 0.6885, test_loss: 0.9499, test_acc: 0.6914 
epoch: 28/300, train_loss: 0.8756, train_acc: 0.6947, test_loss: 0.9040, test_acc: 0.6991 
epoch: 29/300, train_loss: 0.8582, train_acc: 0.7003, test_loss: 0.8715, test_acc: 0.7129 
epoch: 30/300, train_loss: 0.8381, train_acc: 0.7098, test_loss: 0.8920, test_acc: 0.7139 
epoch: 31/300, train_loss: 0.8249, train_acc: 0.7123, test_loss: 0.8927, test_acc: 0.7127 
epoch: 32/300, train_loss: 0.8102, train_acc: 0.7162, test_loss: 0.8565, test_acc: 0.7248 
epoch: 33/300, train_loss: 0.8003, train_acc: 0.7244, test_loss: 0.8166, test_acc: 0.7358 
epoch: 34/300, train_loss: 0.7861, train_acc: 0.7266, test_loss: 0.8327, test_acc: 0.7390 
epoch: 35/300, train_loss: 0.7751, train_acc: 0.7325, test_loss: 0.8040, test_acc: 0.7426 
